window,alpha,folds,mse
2,0.012031541825367172,64,4.111077894444115
2,0.012031541825367172,64,4.111077894444115
2,0.012031541825367172,64,4.111077894444115
2,0.012031541825367172,64,4.111077894444115
2,0.012031541825367172,64,4.111077894444115
2,0.012031541825367172,64,4.111077894444115
2,0.012031541825367172,64,4.111077894444115
2,0.012031541825367172,64,4.111077894444115
2,0.012031541825367172,64,4.111077894444115
2,0.011277396119740902,64,4.1110786347887
2,0.011277396119740902,64,4.1110786347887
2,0.011277396119740902,64,4.1110786347887
2,0.011277396119740902,64,4.1110786347887
2,0.010570520810009826,64,4.111079331931061
2,0.010570520810009826,64,4.111079331931061
2,0.010570520810009826,64,4.111079331931061
2,0.010570520810009826,64,4.111079331931061
2,0.010570520810009826,64,4.111079331931061
2,0.010570520810009826,64,4.111079331931061
2,0.010570520810009826,64,4.111079331931061
2,0.010570520810009826,64,4.111079331931061
2,0.010570520810009826,64,4.111079331931061
2,0.010570520810009826,64,4.111079331931061
2,0.009907952953719419,64,4.111079988205647
2,0.009907952953719419,64,4.111079988205647
2,0.009907952953719419,64,4.111079988205647
2,0.009286915327781859,64,4.111080605843309
2,0.009286915327781859,64,4.111080605843309
2,0.009286915327781859,64,4.111080605843309
2,0.009286915327781859,64,4.111080605843309
2,0.009286915327781859,64,4.111080605843309
2,0.009286915327781859,64,4.111080605843309
2,0.009286915327781859,64,4.111080605843309
2,0.009286915327781859,64,4.111080605843309
2,0.008704804787452367,64,4.111081186973026
2,0.008704804787452367,64,4.111081186973026
2,0.008704804787452367,64,4.111081186973026
2,0.008704804787452367,64,4.111081186973026
2,0.00815918135497331,64,4.111081733624072
2,0.00815918135497331,64,4.111081733624072
2,0.00815918135497331,64,4.111081733624072
2,0.00815918135497331,64,4.111081733624072
2,0.007647757992149969,64,4.111082247728467
2,0.007647757992149969,64,4.111082247728467
2,0.007647757992149969,64,4.111082247728467
2,0.007647757992149969,64,4.111082247728467
2,0.007647757992149969,64,4.111082247728467
2,0.007168391013988566,64,4.111082731123708
2,0.007168391013988566,64,4.111082731123708
2,0.007168391013988566,64,4.111082731123708
2,0.006719071103214418,64,4.111083185555662
2,0.006719071103214418,64,4.111083185555662
2,0.006719071103214418,64,4.111083185555662
2,0.006719071103214418,64,4.111083185555662
2,0.006719071103214418,64,4.111083185555662
2,0.006719071103214418,64,4.111083185555662
2,0.00629791488800657,64,4.111083612681641
2,0.00629791488800657,64,4.111083612681641
2,0.00629791488800657,64,4.111083612681641
2,0.00629791488800657,64,4.111083612681641
2,0.00629791488800657,64,4.111083612681641
2,0.005903157047645993,64,4.111084014073568
2,0.005903157047645993,64,4.111084014073568
2,0.005903157047645993,64,4.111084014073568
2,0.005533142912987591,64,4.111084391221189
2,0.005533142912987591,64,4.111084391221189
2,0.005533142912987591,64,4.111084391221189
2,0.005533142912987591,64,4.111084391221189
2,0.005533142912987591,64,4.111084391221189
2,0.005533142912987591,64,4.111084391221189
2,0.005533142912987591,64,4.111084391221189
2,0.0051863215307398,64,4.111084745535363
2,0.0051863215307398,64,4.111084745535363
2,0.0051863215307398,64,4.111084745535363
2,0.0051863215307398,64,4.111084745535363
2,0.004861239162480226,64,4.111085078351307
2,0.004861239162480226,64,4.111085078351307
2,0.004861239162480226,64,4.111085078351307
2,0.004861239162480226,64,4.111085078351307
2,0.004861239162480226,64,4.111085078351307
2,0.004861239162480226,64,4.111085078351307
2,0.004861239162480226,64,4.111085078351307
2,0.004861239162480226,64,4.111085078351307
2,0.004861239162480226,64,4.111085078351307
2,0.00455653319115766,64,4.111085390931879
2,0.00455653319115766,64,4.111085390931879
2,0.00455653319115766,64,4.111085390931879
2,0.00455653319115766,64,4.111085390931879
2,0.00455653319115766,64,4.111085390931879
2,0.00455653319115766,64,4.111085390931879
2,0.00455653319115766,64,4.111085390931879
2,0.00455653319115766,64,4.111085390931879
2,0.004270926409538859,64,4.111085684470785
2,0.004270926409538859,64,4.111085684470785
2,0.004270926409538859,64,4.111085684470785
2,0.004003221666659722,64,4.11108596009573
2,0.004003221666659722,64,4.11108596009573
2,0.004003221666659722,64,4.11108596009573
2,0.0037522968498406367,64,4.111086218871556
2,0.0037522968498406367,64,4.111086218871556
2,0.0037522968498406367,64,4.111086218871556
2,0.0037522968498406367,64,4.111086218871556
2,0.003296645809180352,64,4.111086689838832
2,0.003296645809180352,64,4.111086689838832
2,0.003296645809180352,64,4.111086689838832
2,0.003296645809180352,64,4.111086689838832
2,0.003090009675919158,64,4.111086903872355
2,0.003090009675919158,64,4.111086903872355
2,0.003090009675919158,64,4.111086903872355
2,0.003090009675919158,64,4.111086903872355
2,0.003090009675919158,64,4.111086903872355
2,0.003090009675919158,64,4.111086903872355
2,0.0028963256442911586,64,4.111087104746501
2,0.0028963256442911586,64,4.111087104746501
2,0.0028963256442911586,64,4.111087104746501
2,0.0028963256442911586,64,4.111087104746501
2,0.0028963256442911586,64,4.111087104746501
2,0.0028963256442911586,64,4.111087104746501
2,0.0028963256442911586,64,4.111087104746501
2,0.0028963256442911586,64,4.111087104746501
2,0.002714781867239066,64,4.111087293255322
